timestamp,rmssd,coverage,low_frequency,high_frequency
2023-11-28T00:00:00,51.362,0.924,213.361,439.585
2023-11-28T00:05:00,70.412,0.997,726.231,1169.836
2023-11-28T00:10:00,71.171,1.003,566.633,1145.769
2023-11-28T00:15:00,59.843,0.993,312.461,880.016
2023-11-28T00:20:00,48.221,1.003,168.968,506.303
2023-11-28T00:25:00,52.06,1.001,453.441,668.022
2023-11-28T00:30:00,51.919,1.002,301.37,702.468
2023-11-28T00:35:00,48.97,1.004,203.679,653.927
2023-11-28T00:40:00,41.475,1.002,239.023,483.817
2023-11-28T00:45:00,38.945,1.003,277.54,296.936
2023-11-28T00:50:00,40.987,1.002,167.258,423.284
2023-11-28T00:55:00,40.71,1.002,170.194,425.172
2023-11-28T01:00:00,42.263,1.001,175.333,492.706
2023-11-28T01:10:00,89.634,0.775,3544.129,1975.273
2023-11-28T01:15:00,78.016,1.0,481.362,1908.553
2023-11-28T01:20:00,50.863,0.986,479.354,763.097
2023-11-28T01:25:00,51.439,0.998,783.231,749.339
2023-11-28T01:30:00,46.204,0.978,468.195,680.99
2023-11-28T01:35:00,51.232,0.953,3136.865,705.235
2023-11-28T01:40:00,42.096,1.006,132.949,418.275
2023-11-28T01:45:00,45.833,1.003,172.41,478.042
2023-11-28T01:50:00,50.784,0.999,301.406,668.41
2023-11-28T01:55:00,52.028,1.003,319.185,654.365
2023-11-28T02:00:00,53.965,1.003,440.756,724.242
2023-11-28T02:05:00,56.752,1.0,278.687,737.664
2023-11-28T02:10:00,57.008,0.998,356.804,687.82
2023-11-28T02:45:00,82.279,0.831,1302.987,1154.886
2023-11-28T02:50:00,67.307,0.975,368.056,678.928
2023-11-28T02:55:00,77.639,0.891,3522.668,1084.072
2023-11-28T03:00:00,58.319,1.007,493.029,490.483
2023-11-28T03:05:00,59.275,0.986,568.244,563.589
2023-11-28T03:10:00,51.736,0.989,191.005,399.713
2023-11-28T03:15:00,51.112,1.004,258.071,414.746
2023-11-28T03:20:00,55.442,1.004,352.367,528.224
2023-11-28T03:25:00,82.073,0.752,2350.732,777.964
2023-11-28T03:30:00,79.428,0.998,510.595,1636.523
2023-11-28T03:35:00,54.927,0.989,1260.041,637.364
2023-11-28T03:40:00,42.035,0.985,282.568,301.323
2023-11-28T03:45:00,53.662,0.991,1254.68,618.336
2023-11-28T03:50:00,63.505,0.884,1677.871,742.985
2023-11-28T03:55:00,67.696,1.003,1415.796,808.398
2023-11-28T04:00:00,61.202,1.004,550.164,599.42
2023-11-28T04:05:00,59.084,1.002,183.996,711.564
2023-11-28T04:10:00,58.226,0.918,447.57,588.389
2023-11-28T04:15:00,60.572,1.004,353.592,593.375
2023-11-28T04:20:00,54.707,0.96,372.384,461.594
2023-11-28T04:25:00,69.682,0.989,1817.067,769.329
2023-11-28T04:30:00,71.483,0.997,293.837,956.089
2023-11-28T04:35:00,77.589,1.003,540.767,1391.647
2023-11-28T04:40:00,76.54,1.004,429.016,1280.125
2023-11-28T04:45:00,78.157,1.002,568.573,1293.198
2023-11-28T04:50:00,80.013,1.0,467.065,1370.174
2023-11-28T04:55:00,77.883,0.91,2119.223,1162.968
2023-11-28T05:00:00,76.601,0.959,1670.0,1331.431
2023-11-28T05:05:00,74.81,0.941,2264.529,1135.502
2023-11-28T05:10:00,62.207,0.998,1505.418,884.539
2023-11-28T05:15:00,63.614,0.985,1524.572,801.881
2023-11-28T05:20:00,62.531,0.899,926.843,900.634
2023-11-28T05:25:00,67.591,1.003,664.022,1019.891
2023-11-28T05:30:00,61.805,0.982,318.646,742.89
2023-11-28T05:35:00,49.995,0.992,301.521,364.698
2023-11-28T05:40:00,76.016,0.926,1875.569,917.709
2023-11-28T05:45:00,100.384,1.0,241.086,2206.658
2023-11-28T05:50:00,94.326,0.97,1029.079,1839.793
2023-11-28T05:55:00,88.957,0.959,659.962,1617.77
2023-11-28T06:00:00,72.157,1.003,833.724,876.058
2023-11-28T06:05:00,74.115,1.001,629.719,1129.747
2023-11-28T06:10:00,71.223,1.003,417.429,921.0
2023-11-28T06:15:00,72.364,0.882,2399.515,773.763
2023-11-28T06:20:00,59.165,0.852,1839.73,818.637
2023-11-28T06:25:00,70.423,1.005,2833.225,1017.846
2023-11-28T06:35:00,58.126,0.955,937.642,491.155
2023-11-28T06:40:00,60.03,0.954,2156.471,677.25
2023-11-28T06:45:00,61.204,1.001,628.215,488.797
2023-11-28T06:50:00,64.797,0.794,2203.206,350.256
2023-11-28T06:55:00,62.395,0.993,3397.463,502.003
2023-11-28T07:00:00,69.69,0.864,2980.528,848.079
